participant,group,dob,dot,age,gender,raw_gs1,raw_gs2,raw_gs3,raw_gs4,raw_gs5,raw_vn1,raw_vn2,raw_vn3,raw_vn4,raw_vn5,raw_co1,raw_co2,raw_co3,raw_co4,raw_co5,gs1,gs2,gs3,gs4,gs5,gs_average,vn1,vn2,vn3,vn4,vn5,vn_average,co1,co2,co3,co4,co5,co_average,crossed_gs1,crossed_gs2,crossed_gs3,crossed_gs4,crossed_gs5,crossed_vn1,crossed_vn2,crossed_vn3,crossed_vn4,crossed_vn5,crossed_co1,crossed_co2,crossed_co3,crossed_co4,crossed_co5,crossed_gs_average,crossed_vn_average,crossed_co_average,oq1,oq2,oq3,oq4,oq5,oq6,oq7,oq8,oq9,oq10,crossed_oq1,crossed_oq2,crossed_oq3,crossed_oq4,crossed_oq5,crossed_q6,crossed_oq7,crossed_oq8,crossed_oq9,crossed_oq10,crossed_ave_year_2,crossed_ave_reception,ave_open,crossed_ave_open,control_gs,control_vn,control_cq,control_oq
34,R,23/03/2015,09/03/2020,1813,F,C,C,A,C,A,B,B,B,B,B,B,B,C,D,A,0.24,0.32,0.64,0.8,0.64,0.528,0.36,0.36,0.292,0.28,0.2,0.298,0.2,0.28,0.32,0.36,0.76,0.384,0.2,0.28,0.24,0.08,0.56,0.36,0.6,0.2,0.32,0.28,0.16,0.44,1,0.08,0.16,0.272,0.352,0.368,0.16,0.04,0.08,0.28,0.12,0.04,0.04,0.08,0.52,0.25,0,0,0.04,0.4,0.04,0,0.04,0,0.24,0.92,,0.234285714,0.201428571,0.234285714,0.64,0.76,0.76,0.04
35,R,22/04/2015,09/03/2020,1783,M,B,B,C,C,B,A,D,C,C,D,C,A,D,A,A,0.28,0.4,0.16,0.8,0.08,0.344,0.28,0.16,0.167,0.36,0.32,0.257,0.68,0.2,0.64,0.24,0.76,0.504,0.08,0.04,0.08,0.08,0.2,0.12,0.12,0.48,0.04,0.32,0.84,0.08,0,0.4,0.16,0.096,0.216,0.296,0.28,0.08,0.04,0.4,0.16,0.2,0.04,0.04,0.28,0.167,0.52,0,0,0.44,0.52,0.08,0,0,0.48,0,,0.291428571,0.218142857,0.291428571,0.12,0.76,0.12,0.28
36,R,23/04/2015,09/03/2020,1782,F,A,B,A,C,C,C,B,D,D,D,C,A,D,D,B,0.04,0.4,0.64,0.8,0.08,0.392,0.12,0.36,0.375,0.2,0.32,0.275,0.68,0.2,0.64,0.36,0.08,0.392,0.72,0.04,0.24,0.08,0.16,0.04,0.6,0,0.4,0.32,0.84,0.08,0,0.08,0.12,0.248,0.272,0.224,0.16,0.08,0.04,0.2,0,0.2,0.12,0.04,0.04,0,0.12,0,0,0.12,0,0.08,0,0,0,0,,0.045714286,0.102857143,0.045714286,0.16,0.76,0.76,0.04
37,R,16/05/2015,09/03/2020,1759,M,D,D,A,C,A,B,C,C,A,A,C,B,D,B,A,0.44,0.16,0.64,0.8,0.64,0.536,0.36,0.16,0.167,0.16,0.2,0.209,0.68,0.28,0.64,0.16,0.76,0.504,0,0.16,0.24,0.08,0.56,0.36,0.16,0.48,0.24,0.08,0.84,0.44,0,0.52,0.16,0.208,0.264,0.392,0.08,0.08,0.04,0.4,0.24,0.12,0.12,0.12,0.52,0.167,0.04,0,0,0.44,0.52,0.2,0,0,0.24,0,,0.205714286,0.235285714,0.205714286,0.64,0.76,0.76,0.04
38,R,31/05/2015,09/03/2020,1744,M,C,B,A,C,A,A,B,C,A,C,C,C,D,D,A,0.24,0.4,0.64,0.8,0.64,0.544,0.28,0.36,0.167,0.16,0.28,0.249,0.68,0.4,0.64,0.36,0.76,0.568,0.2,0.04,0.24,0.08,0.56,0.12,0.6,0.48,0.24,0.32,0.84,0.48,0,0.08,0.16,0.224,0.352,0.312,0.04,0.04,0.04,0.4,0.04,0.2,0.12,0.12,0.28,0.083,0.04,0,0,0.44,0,0.04,0,0,0.48,0.04,,0.148571429,0.166142857,0.148571429,0.64,0.12,0.76,0.04
40,R,18/05/2015,09/03/2020,1757,M,D,B,B,C,A,A,C,A,A,C,C,C,D,D,D,0.44,0.4,0.08,0.8,0.64,0.472,0.28,0.16,0.167,0.16,0.28,0.209,0.68,0.4,0.64,0.36,0.12,0.44,0,0.04,0.56,0.08,0.56,0.12,0.16,0.32,0.24,0.32,0.84,0.48,0,0.08,0.44,0.248,0.232,0.368,0.04,0.04,0.04,0.4,0.04,0.2,0.12,0.08,0.28,0.25,0,0.04,0,0.44,0,0.04,0,0,0.48,0.92,,0.268571429,0.19,0.268571429,0.16,0.76,0.76,0.44
41,R,15/06/2015,09/03/2020,1729,F,D,B,A,C,A,B,D,B,B,C,D,D,D,D,A,0.44,0.4,0.64,0.8,0.64,0.584,0.36,0.16,0.292,0.28,0.28,0.274,0.08,0.12,0.64,0.36,0.76,0.392,0,0.04,0.24,0.08,0.56,0.36,0.12,0.2,0.32,0.32,0,0,0,0.08,0.16,0.184,0.264,0.048,0.16,0.04,0.04,0.2,0.12,0.2,0.08,0.04,0.52,0.125,0,0,0,0.12,0.04,0.04,0,0,0.24,0,,0.062857143,0.200714286,0.062857143,0.64,0.76,0.76,0.44
42,R,20/02/2015,10/03/2020,1845,M,D,D,A,C,A,C,A,B,D,C,C,C,C,C,A,0.44,0.16,0.64,0.8,0.64,0.536,0.12,0.32,0.292,0.2,0.28,0.242,0.68,0.4,0.32,0.24,0.76,0.48,0,0.16,0.24,0.08,0.56,0.04,0.12,0.2,0.4,0.32,0.84,0.48,1,0,0.16,0.208,0.216,0.496,0.28,0.04,0.08,0.2,0.04,0.04,0.04,0.08,0.04,0.042,0.52,0.04,0,0.12,0.04,0,0,0,0,0,,0.097142857,0.097428571,0.097142857,0.64,0.76,0.12,0.04
44,R,24/07/2015,10/03/2020,1691,M,C,B,A,C,D,B,C,A,B,C,B,B,D,C,A,0.24,0.4,0.64,0.8,0.2,0.456,0.36,0.16,0.167,0.28,0.28,0.249,0.2,0.28,0.64,0.24,0.76,0.424,0.2,0.04,0.24,0.08,0.08,0.36,0.16,0.32,0.32,0.32,0.16,0.44,0,0,0.16,0.128,0.296,0.152,0.16,0.04,0.08,0.28,0.16,0.2,0.12,0.04,0.28,0.083,0,0,0,0.4,0.52,0.08,0.08,0,0.48,0.92,,0.354285714,0.183285714,0.354285714,0.08,0.08,0.76,0.44
45,R,24/07/2015,10/03/2020,1691,M,B,C,C,C,A,D,B,B,B,B,C,A,C,C,A,0.28,0.32,0.16,0.8,0.64,0.44,0.24,0.36,0.292,0.28,0.2,0.274,0.68,0.2,0.32,0.24,0.76,0.44,0.08,0.28,0.08,0.08,0.56,0.48,0.6,0.2,0.32,0.28,0.84,0.08,1,0,0.16,0.216,0.376,0.416,0.04,0.04,0.04,0.4,0.16,0.04,0.12,0.08,0.28,0.25,0,0,0,0.44,0.52,0.08,0.08,0,0.48,0.92,,0.36,0.184285714,0.36,0.08,0.76,0.76,0.28
46,R,12/02/2015,10/03/2020,1853,F,D,C,A,C,A,B,B,B,B,C,D,D,D,D,A,0.44,0.32,0.64,0.8,0.64,0.568,0.36,0.36,0.292,0.28,0.28,0.314,0.08,0.12,0.64,0.36,0.76,0.392,0,0.28,0.24,0.08,0.56,0.36,0.6,0.2,0.32,0.32,0,0,0,0.08,0.16,0.232,0.36,0.048,0.16,0.08,0.16,0.4,0.24,0.12,0.04,0.04,0.52,0.042,0.12,0.12,0,0.44,0.52,0.2,0,0,0.24,0.92,,0.348571429,0.217428571,0.348571429,0.64,0.76,0.12,0.28
47,R,04/03/2015,10/03/2020,1833,F,C,B,A,A,A,D,A,D,C,A,C,D,C,C,A,0.24,0.4,0.64,0.04,0.64,0.392,0.24,0.32,0.375,0.36,0.2,0.299,0.68,0.12,0.32,0.24,0.76,0.424,0.2,0.04,0.24,0.76,0.56,0.48,0.12,0,0.04,0.08,0.84,0,1,0,0.16,0.36,0.144,0.4,0.2,0.08,0,0.4,0.24,0.12,0.12,0.08,0.52,0.042,0.28,0,0,0.44,0.52,0.2,0,0,0.24,0,,0.24,0.234571429,0.24,0.64,0.12,0.76,0.28
48,R,01/03/2015,10/03/2020,1836,M,B,A,A,C,D,D,D,D,C,B,C,C,D,C,D,0.28,0.12,0.64,0.8,0.2,0.408,0.24,0.16,0.375,0.36,0.2,0.267,0.68,0.4,0.64,0.24,0.12,0.416,0.08,0.52,0.24,0.08,0.08,0.48,0.12,0,0.04,0.28,0.84,0.48,0,0,0.44,0.2,0.184,0.352,0.08,0.04,0.04,0.2,0.04,0.2,0.04,0.08,0.52,0.167,0.04,0,0.04,0.12,0,0.08,0,0,0.24,0,,0.068571429,0.178142857,0.068571429,0.16,0.76,0.12,0.44
50,R,04/11/2014,10/03/2020,1953,F,D,C,A,D,A,D,A,C,B,D,C,C,C,C,A,0.44,0.32,0.64,0.08,0.64,0.424,0.24,0.32,0.167,0.28,0.32,0.265,0.68,0.4,0.32,0.24,0.76,0.48,0,0.28,0.24,0.08,0.56,0.48,0.12,0.48,0.32,0.32,0.84,0.48,1,0,0.16,0.232,0.344,0.496,0.28,0.04,0.16,0.28,0.24,0.28,0.12,0.04,0.52,0.25,0.52,0,0,0.4,0.52,0,0,0,0.24,0.92,,0.371428571,0.281428571,0.371428571,0.64,0.08,0.76,0.44
51,R,13/10/2014,10/03/2020,1975,M,D,A,D,C,D,A,D,A,C,D,C,B,D,A,B,0.44,0.12,0.12,0.8,0.2,0.336,0.28,0.16,0.167,0.36,0.32,0.257,0.68,0.28,0.64,0.24,0.08,0.384,0,0.52,0.12,0.08,0.08,0.12,0.12,0.32,0.04,0.32,0.84,0.44,0,0.4,0.12,0.16,0.184,0.36,0.28,0.08,0.08,0.04,0.04,0.28,0.12,0,0.04,0.167,0.52,0,0,0,0,0,0,0,0,0,,0.074285714,0.138142857,0.074285714,0.64,0.04,0.76,0.28
52,R,26/09/2014,10/03/2020,1992,F,D,C,A,C,A,A,A,D,D,A,C,C,D,A,A,0.44,0.32,0.64,0.8,0.64,0.568,0.28,0.32,0.375,0.2,0.2,0.275,0.68,0.4,0.64,0.24,0.76,0.544,0,0.28,0.24,0.08,0.56,0.12,0.12,0,0.4,0.08,0.84,0.48,0,0.4,0.16,0.232,0.144,0.376,0.2,0.04,0.08,0.4,0.04,0.28,0.12,0,0.52,0.125,0.28,0.12,0.04,0.44,0,0,0.08,0,0.24,0,,0.148571429,0.240714286,0.148571429,0.64,0.76,0.76,0.04
53,R,24/09/2014,10/03/2020,1994,F,B,C,D,B,A,C,A,,C,B,B,C,C,A,A,0.28,0.32,0.12,0.08,0.64,0.288,0.12,0.32,0,0.36,0.2,0.2,0.2,0.4,0.32,0.24,0.76,0.384,0.08,0.28,0.12,0.08,0.56,0.04,0.12,0,0.04,0.28,0.16,0.48,1,0.4,0.16,0.224,0.096,0.44,0.28,0.04,0.08,0.4,0.24,0.2,0.04,0.08,0.04,0.25,0.52,0.2,0.04,0.44,0.52,0.08,0,0,0,0.92,,0.354285714,0.207142857,0.354285714,0.12,0.76,0.12,0.28
55,R,05/06/2015,10/03/2020,1740,F,C,B,A,C,A,B,A,B,B,D,A,B,A,B,C,0.24,0.4,0.64,0.8,0.64,0.544,0.36,0.32,0.292,0.28,0.32,0.314,0.04,0.28,0.04,0.16,0.04,0.112,0.2,0.04,0.24,0.08,0.56,0.36,0.12,0.2,0.32,0.32,0,0.44,0,0.52,0.28,0.224,0.264,0.248,0.2,0.04,0.04,0.28,0.12,0.04,0.08,0.12,0.28,0.042,0.28,0,0,0.4,0.04,0,0,0,0.48,0,,0.171428571,0.148857143,0.171428571,0.64,0.12,0.76,0.44
56,R,16/06/2015,10/03/2020,1729,F,B,B,B,C,B,B,B,D,C,D,B,A,D,B,A,0.28,0.4,0.08,0.8,0.08,0.328,0.36,0.36,0.375,0.36,0.32,0.355,0.2,0.2,0.64,0.16,0.76,0.392,0.08,0.04,0.56,0.08,0.2,0.36,0.6,0,0.04,0.32,0.16,0.08,0,0.52,0.16,0.192,0.264,0.184,0.16,0.04,0.08,0.04,0.04,0.28,0.04,0.04,0.04,0.083,0,0,0,0,0.52,0,0,0,0,0.92,,0.205714286,0.097571429,0.205714286,0.16,0.76,0.12,0.44
57,R,15/08/2015,10/03/2020,1669,M,D,D,A,C,D,D,B,D,C,D,C,B,D,B,A,0.44,0.16,0.64,0.8,0.2,0.448,0.24,0.36,0.375,0.36,0.32,0.331,0.68,0.28,0.64,0.16,0.76,0.504,0,0.16,0.24,0.08,0.08,0.48,0.6,0,0.04,0.32,0.84,0.44,0,0.52,0.16,0.112,0.288,0.392,0.2,0.08,0.16,0.4,0.04,0.28,0.04,0.08,0.52,0.125,0.28,0,0,0.44,0,0,0,0,0.24,0,,0.137142857,0.229285714,0.137142857,0.64,0.76,0.76,0.44
58,R,18/08/2015,10/03/2020,1666,F,B,D,D,D,D,A,A,D,C,A,B,C,D,D,D,0.28,0.16,0.12,0.08,0.2,0.168,0.28,0.32,0.375,0.36,0.2,0.307,0.2,0.4,0.64,0.36,0.12,0.344,0.08,0.16,0.12,0.08,0.08,0.12,0.12,0,0.04,0.08,0.16,0.48,0,0.08,0.44,0.104,0.072,0.232,0.16,0.04,0.04,0.2,0.04,0.2,0.04,0.04,0.52,0.083,0.12,0,0,0.12,0.04,0.04,0,0,0.24,0,,0.08,0.177571429,0.08,0.64,0.76,0.76,0.44
59,R,06/09/2014,10/03/2020,2012,F,B,B,C,B,A,B,C,D,D,D,C,B,C,A,A,0.28,0.4,0.16,0.08,0.64,0.312,0.36,0.16,0.375,0.2,0.32,0.283,0.68,0.28,0.32,0.24,0.76,0.456,0.08,0.04,0.08,0.08,0.56,0.36,0.16,0,0.4,0.32,0.84,0.44,1,0.4,0.16,0.168,0.248,0.568,0.28,0.04,0.04,0.28,0.04,0.04,0.04,0.04,0.52,0.083,0.52,0,0.24,0.4,0,0.04,0,0,0.24,0.04,,0.177142857,0.183285714,0.177142857,0.12,0.76,0.76,0.04
60,R,07/11/2014,10/03/2020,1950,M,D,C,A,C,C,D,A,B,D,B,C,C,C,D,A,0.44,0.32,0.64,0.8,0.08,0.456,0.24,0.32,0.292,0.2,0.2,0.25,0.68,0.4,0.32,0.36,0.76,0.504,0,0.28,0.24,0.08,0.16,0.48,0.12,0.2,0.4,0.28,0.84,0.48,1,0.08,0.16,0.152,0.296,0.512,0.2,0.08,0.16,0.28,0.16,0.28,0.12,0.04,0.52,0.083,0.28,0.12,0,0.4,0.52,0,0,0,0.24,0,,0.205714286,0.234714286,0.205714286,0.64,0.76,0.76,0.28
61,A,,,34,M,C,D,A,A,C,D,B,A,D,C,B,B,C,B,A,0.2,0.16,0.24,0.76,0.16,0.304,0.48,0.6,0.32,0.4,0.32,0.424,0.16,0.44,1,0.52,0.16,0.456,,,,,,,,,,,,,,,,,,,0.52,0.2,0.6,0.44,0.12,0.2,0.12,0.08,0.48,0.92,0.36,0.2,0.56,0.44,0.08,0.12,0.08,0.08,0.52,0.8,,,0.4,,0.92,0.96,1,0.76
62,A,,,21,M,A,A,B,A,A,B,B,C,B,D,C,C,C,B,D,0.72,0.52,0.6,0.76,0.56,0.632,0.36,0.6,0.48,0.32,0.32,0.416,0.84,0.48,1,0.52,0.44,0.656,,,,,,,,,,,,,,,,,,,0.12,0.04,0.6,0.04,0.52,0.08,0.08,0.04,0.08,0.92,0.12,0.08,0.56,0,0.48,0,0,0,0.08,0.8,,,0.262857143,,0.92,0.96,1,0.04
63,A,,,44,M,A,D,D,C,C,B,A,A,B,B,C,C,C,D,D,0.72,0.16,0.12,0.08,0.16,0.248,0.36,0.12,0.32,0.32,0.28,0.28,0.84,0.48,1,0.08,0.44,0.568,,,,,,,,,,,,,,,,,,,0.52,0.12,0.6,0.44,0.12,0.04,0.24,0.04,0.48,0.92,0.36,0.12,0.56,0.44,0.08,0,0.12,0,0.52,0.8,,,0.394285714,,0.04,0.96,1,0.76
64,A,,,24,M,B,C,B,D,B,D,C,C,D,C,C,B,C,B,C,0.08,0.28,0.6,0.08,0.2,0.248,0.48,0.16,0.48,0.4,0.32,0.368,0.84,0.44,1,0.52,0.28,0.616,,,,,,,,,,,,,,,,,,,0.52,0.12,0.04,0.4,0.52,0.2,0.04,0.04,0.48,0.04,0.36,0.08,0.08,0.28,0.48,0.12,0,0,0.52,0,,,0.314285714,,0.04,0.96,1,0.76
65,A,,,37,F,A,B,B,B,B,B,D,C,C,D,C,B,C,B,C,0.72,0.04,0.6,0.08,0.2,0.328,0.36,0.12,0.48,0.04,0.32,0.264,0.84,0.44,1,0.52,0.28,0.616,,,,,,,,,,,,,,,,,,,0.52,0.04,0.6,0.44,0.04,0.24,0.24,0.08,0.04,0.92,0.36,0,0.56,0.44,0,0.2,0.12,0,0.04,0.8,,,0.348571429,,0.92,0.96,1,0.76
66,A,,,53,M,A,A,B,A,A,D,B,A,A,A,C,B,C,B,D,0.72,0.52,0.6,0.76,0.56,0.632,0.48,0.6,0.32,0.24,0.08,0.344,0.84,0.44,1,0.52,0.44,0.648,,,,,,,,,,,,,,,,,,,0.28,0.2,0.24,0.12,0.08,0.24,0.24,0.08,0.48,0.92,0.28,0.2,0.04,0.12,0,0.2,0.12,0,0.52,0.8,,,0.337142857,,0.92,0.96,1,0.76
67,A,,,20,M,A,A,B,B,A,D,B,A,B,C,B,A,C,B,B,0.72,0.52,0.6,0.08,0.56,0.496,0.48,0.6,0.32,0.32,0.32,0.408,0.16,0.08,1,0.52,0.12,0.376,,,,,,,,,,,,,,,,,,,0.28,0.04,0.6,0.44,0.52,0.04,0.12,0.04,0.48,0.92,0.28,0.04,0.56,0.44,0.48,0,0.08,0,0.52,0.8,,,0.4,,0.92,0.96,1,0.08
68,A,,,64,F,A,C,B,A,A,D,D,C,A,B,B,C,C,A,D,0.72,0.28,0.6,0.76,0.56,0.584,0.48,0.12,0.48,0.24,0.28,0.32,0.16,0.48,1,0.4,0.44,0.496,,,,,,,,,,,,,,,,,,,0.52,0.04,0.24,0.44,0.08,0.24,0.08,0.08,0.48,0.92,0.36,0,0.04,0.44,0,0.2,0,0,0.52,0.8,,,0.394285714,,0.92,0.96,1,0.76
69,A,,,26,M,B,A,C,C,D,B,A,C,D,C,C,C,C,A,B,0.08,0.52,0.08,0.08,0.08,0.168,0.36,0.12,0.48,0.4,0.32,0.336,0.84,0.48,1,0.4,0.12,0.568,,,,,,,,,,,,,,,,,,,0.52,0.16,0.6,0.44,0.52,0.08,0.04,0.08,0.08,0.92,0.36,0,0.56,0.44,0.48,0.12,0.04,0.08,0.08,0.8,,,0.371428571,,0.92,0.04,1,0.04
70,A,,,38,M,C,A,B,A,A,D,B,A,B,A,C,B,C,D,D,0.2,0.52,0.6,0.76,0.56,0.528,0.48,0.6,0.32,0.32,0.08,0.36,0.84,0.44,1,0.08,0.44,0.56,,,,,,,,,,,,,,,,,,,0.28,0.08,0.6,0.12,0.12,0.04,0.04,0.04,0.48,0.92,0.28,0.04,0.56,0.12,0.08,0.04,0.04,0,0.52,0.8,,,0.285714286,,0.92,0.96,1,0.76
71,A,,,24,M,C,D,A,D,B,A,B,C,B,B,C,B,C,B,B,0.2,0.16,0.24,0.08,0.2,0.176,0.12,0.6,0.48,0.32,0.28,0.36,0.84,0.44,1,0.52,0.12,0.584,,,,,,,,,,,,,,,,,,,0.52,0.12,0.6,0.4,0.52,0.24,0.12,0.04,0.48,0.92,0.36,0.08,0.56,0.28,0.48,0.2,0.12,0,0.52,0.8,,,0.457142857,,0.92,0.96,1,0.76
72,A,,,34,M,A,C,B,A,A,D,B,C,D,C,C,C,C,B,C,0.72,0.28,0.6,0.76,0.56,0.584,0.48,0.6,0.48,0.4,0.32,0.456,0.84,0.48,1,0.52,0.28,0.624,,,,,,,,,,,,,,,,,,,0.28,0.08,0.6,0.44,0.52,0.04,0.12,0.04,0.24,0.92,0.28,0.04,0.56,0.44,0.48,0.04,0.08,0,0.12,0.8,,,0.365714286,,0.92,0.96,1,0.76
73,A,,,27,F,A,A,B,A,A,D,C,C,A,D,C,B,C,B,C,0.72,0.52,0.6,0.76,0.56,0.632,0.48,0.16,0.48,0.24,0.32,0.336,0.84,0.44,1,0.52,0.28,0.616,,,,,,,,,,,,,,,,,,,0.04,0.04,0.6,0.4,0.08,0.04,0.04,0.04,0.24,0.92,0.04,0,0.56,0.28,0.04,0,0,0,0.12,0.8,,,0.251428571,,0.92,0.96,1,0.76
74,A,,,54,F,A,A,B,A,A,A,C,A,D,D,C,C,C,A,C,0.72,0.52,0.6,0.76,0.56,0.632,0.12,0.16,0.32,0.4,0.32,0.264,0.84,0.48,1,0.4,0.28,0.6,,,,,,,,,,,,,,,,,,,0.52,0.04,0.24,0.44,0.52,0.24,0.04,0.04,0.04,0.92,0.36,0,0.04,0.44,0.48,0.2,0.04,0,0,0.8,,,0.388571429,,0.92,0.96,1,0.76
75,A,,,42,F,A,C,A,A,A,D,D,C,A,D,C,B,C,B,D,0.72,0.28,0.24,0.76,0.56,0.512,0.48,0.12,0.48,0.24,0.32,0.328,0.84,0.44,1,0.52,0.44,0.648,,,,,,,,,,,,,,,,,,,0.04,0.04,0.6,0.44,0.04,0.04,0.04,0.04,0.24,0.92,0.08,0,0.56,0.44,0,0.04,0,0,0.12,0.8,,,0.251428571,,0.92,0.96,1,0.76
76,A,,,33,F,A,A,A,A,A,C,B,A,B,C,C,C,C,A,A,0.72,0.52,0.24,0.76,0.56,0.56,0.04,0.6,0.32,0.32,0.32,0.32,0.84,0.48,1,0.4,0.16,0.576,,,,,,,,,,,,,,,,,,,0.12,0.16,0.6,0.4,0.12,0.04,0.24,0.04,0.08,0.92,0.12,0,0.56,0.28,0.08,0,0.12,0,0,0.8,,,0.274285714,,0.92,0.96,1,0.08
77,A,,,28,F,A,C,C,A,A,D,B,C,B,D,C,C,C,A,D,0.72,0.28,0.08,0.76,0.56,0.48,0.48,0.6,0.48,0.32,0.32,0.44,0.84,0.48,1,0.4,0.44,0.632,,,,,,,,,,,,,,,,,,,0.52,0.2,0.04,0.44,0.52,0.08,0.04,0.04,0.48,0.92,0.36,0.2,0,0.44,0.48,0.12,0,0,0.52,0.8,,,0.428571429,,0.92,0.96,1,0.76
78,A,,,29,M,A,A,B,A,C,B,B,B,A,D,C,B,C,A,D,0.72,0.52,0.6,0.76,0.16,0.552,0.36,0.6,0.2,0.24,0.32,0.344,0.84,0.44,1,0.4,0.44,0.624,,,,,,,,,,,,,,,,,,,0.28,0.12,0.6,0.44,0.52,0.08,0.24,0.08,0.24,0.92,0.28,0.08,0.56,0.44,0.48,0.04,0.12,0.04,0.12,0.8,,,0.388571429,,0.92,0.96,1,0.76
79,A,,,20,F,C,D,D,A,D,D,A,C,D,C,C,A,C,B,D,0.2,0.16,0.12,0.76,0.08,0.264,0.48,0.12,0.48,0.4,0.32,0.36,0.84,0.08,1,0.52,0.44,0.576,,,,,,,,,,,,,,,,,,,0.52,0.2,0.24,0.4,0.12,0.2,0.08,0.08,0.24,0.92,0.36,0.2,0.04,0.28,0.08,0.12,0.04,0.04,0.12,0.8,,,0.354285714,,0.92,0.96,1,0.76
80,A,,,23,F,A,A,B,A,A,B,B,B,B,B,C,B,C,B,D,0.72,0.52,0.6,0.76,0.56,0.632,0.36,0.6,0.2,0.32,0.28,0.352,0.84,0.44,1,0.52,0.44,0.648,,,,,,,,,,,,,,,,,,,0.52,0.12,0.24,0.4,0.52,0.08,0.04,0.04,0.48,0.92,0.36,0.12,0.04,0.28,0.48,0,0,0,0.52,0.8,,,0.422857143,,0.92,0.96,1,0.08
81,A,,,44,M,A,C,A,A,A,B,B,A,D,C,C,C,C,A,A,0.72,0.28,0.24,0.76,0.56,0.512,0.36,0.6,0.32,0.4,0.32,0.4,0.84,0.48,1,0.4,0.16,0.576,,,,,,,,,,,,,,,,,,,0.28,0.16,0.04,0.4,0.52,0.2,0.12,0.04,0.08,0.92,0.28,0,0,0.28,0.48,0.12,0.12,0,0,0.8,,,0.36,,0.92,0.96,1,0.08
82,A,,,37,F,A,A,B,A,C,D,B,C,D,B,C,C,C,B,D,0.72,0.52,0.6,0.76,0.16,0.552,0.48,0.6,0.48,0.4,0.28,0.448,0.84,0.48,1,0.52,0.44,0.656,,,,,,,,,,,,,,,,,,,0.12,0.04,0.04,0.4,0.12,0.04,0.12,0.04,0.04,0.92,0.12,0,0.04,0.28,0.08,0,0.12,0,0,0.8,,,0.251428571,,0.92,0.96,1,0.76
83,A,,,35,F,A,C,D,A,A,B,B,B,D,B,C,B,C,A,A,0.72,0.28,0.12,0.76,0.56,0.488,0.36,0.6,0.2,0.4,0.28,0.368,0.84,0.44,1,0.4,0.16,0.568,,,,,,,,,,,,,,,,,,,0.52,0.16,0.6,0.4,0.08,0.2,0.04,0.04,0.48,0.04,0.36,0,0.56,0.28,0.04,0.12,0,0,0.52,0.04,,,0.251428571,,0.92,0.96,1,0.76
84,A,,,36,F,C,A,B,A,B,A,B,B,D,D,B,C,C,A,C,0.2,0.52,0.6,0.76,0.2,0.456,0.12,0.6,0.2,0.4,0.32,0.328,0.16,0.48,1,0.4,0.28,0.464,,,,,,,,,,,,,,,,,,,0.52,0.12,0.24,0.12,0.52,0.08,0.24,0.08,0.48,0.92,0.36,0.12,0.04,0.12,0.48,0.04,0.12,0,0.52,0.8,,,0.411428571,,0.92,0.96,1,0.76
85,A,,,21,M,A,A,A,A,B,B,C,B,A,B,C,C,C,A,C,0.72,0.52,0.24,0.76,0.2,0.488,0.36,0.16,0.2,0.24,0.28,0.248,0.84,0.48,1,0.4,0.28,0.6,,,,,,,,,,,,,,,,,,,0.28,0.2,0.6,0.4,0.52,0.24,0.08,0.04,0.24,0.92,0.28,0.2,0.56,0.28,0.48,0.2,0.04,0,0.12,0.8,,,0.382857143,,0.92,0.96,1,0.76